glove	respect
portal	opportunities that are denied and not available to you or that you have missed out on
bandage	your need to heal
housekeeper	someone may be trying to run your life from the sideline or background
murder	you are putting an end to an old habit and a former way of thinking
backstroke	although you are acknowledging your emotions, you are not confronting them head on
roller_blade	you are moving rapidly through life with tremendous ease and determination
u-turn	you cannot take back what has already been done
meat	a degradation of your physical and psychological being
treadmill	you are stuck in the same old routine
girl_scout	sisterhood, camaraderie, characters and strong values
wadding	your need for security 
ladder	you have reached a new level of achievement
recording_studio	there is a message you need that to absorb and incorporate into your daily life
rear_ended	something from your past is still impacting your present situation
sensuality	you need to pay more attention to the needs of your body
toll_booth	a sense of entitlement that you have over some area of your life
blackberry	you are becoming careless
pier	self-reflection and introspective 
sharing	your generosity toward others
ninepins	you are foolishly wasting your energy and letting opportunities slip away
lozenges	you need some coaxing in order to discuss some issue
ambassador	you need to be more diplomatic in a situation
phone_number	you need to make contact with someone and reach out for help
stomach	a pun on sticking to your guts
dummy	a critical component is lacking in your relationship
hurricane	both your mental and emotional forces are building up inside and making themselves known
eye_patch	you are one-sided in your views and in your thinking
outhouse	you need to be more open with your feelings
ebony	mystery, richness, smoothness
ramp	some instability and lack of control in your life
plumage	a need to feel protected and shielded from the elements
mint	there is a calming influence in your life
bed_and_breakfast	you are looking to have your basic needs met
breath	you are experiencing some anxiety, tension, or fear concerning a new situation in your waking life
ghost	guilt and regrets concerning the past relationships with that particular person
roadwork	the many obstacles, setbacks, and delays that you will need to overcome as your move toward your goals
manta_ray	emotional freedom
parking_meter	your leisurely and carefree days are soon coming to an end
picture	acceptance the image that is depicted in the picture
los_angeles	opportunities
traffic_light	you feel you are being held back from pursuing your goals
floss	you are trying to get to the root of some matter
voucher	the effort and work that you have invested into some project or cause
jousting	your determination and drive to push forward in any circumstance
jewelry	you are trying to hard to impress others
stomachache	you are experiencing a high level of stress
silverware	harmony in your domestic life
help	you are feeling lost, overwhelmed, and/or inadequate
crow	an inescapable death
colonel	you need to be mindful of other's feelings
unibrow	you are feeling insecure about your physical appearance
branch	good luck, growth, and new life
skunk	you are driving people away or turning them off
tree	new hopes, growth, desires, knowledge, and life
eating	a lack of spirituality and fulfillment in your waking life
cabin	you will succeed via your own means
wrapping	you are trying to hide the truth you are involved in a cover-up
tong	you need to keep your distance from some matter or situation
prisoner	an aspect of yourself is unable to freely express itself
laser	clarity and truth
arbiter	over some matter
earwig	unpleasant news that will affect both your professional and family spheres
